year_type,country_code,games,mbefore_hosting,mhosting,mafter_hosting,pre_hosting_adv,post_hosting_adv,events,cost_per_event_mio_usd,athletes,cost_per_athlete_mio_usd,cost_billion_usd
1964_0,AUT,innsbruck,,17.0,15.0,,-11.76470588235294,34,0.6,1091,0.02,0.022
1964_1,JPN,tokyo,,64.0,67.0,,4.6875,163,1.7,5152,0.1,0.282
1968_0,FRA,grenoble,7.0,9.0,3.0,28.57142857142857,-66.66666666666666,35,25.4,1158,0.8,0.888
1972_0,JPN,sapporo,,3.0,,,,35,3.4,1006,0.1,0.117
1976_0,AUT,innsbruck,5.0,7.0,8.0,40.0,14.285714285714285,37,3.2,1123,0.1,0.118
1976_1,CAN,montreal,10.0,20.0,,100.0,,198,30.8,6048,1.0,6.093
1980_0,USA,lake placid,11.0,30.0,9.0,172.72727272727272,-70.0,38,11.5,1072,0.4,0.435
1980_1,URS,moscow,285.0,442.0,,55.08771929824562,,203,31.2,5179,1.2,6.331
1984_1,USA,los angeles,,333.0,193.0,,-42.04204204204204,221,3.3,6829,0.1,0.719
1988_0,CAN,calgary,4.0,6.0,37.0,50.0,516.6666666666667,46,24.1,1432,0.8,1.109
1992_0,FRA,albertville,2.0,12.0,,500.0,,57,35.0,1801,1.1,1.997
1992_1,ESP,barcelona,5.0,66.0,67.0,1220.0,1.5151515151515151,257,37.7,9356,1.0,9.687
1994_0,NOR,lillehammer,,34.0,44.0,,29.411764705882355,61,36.5,1737,1.3,2.228
1996_1,USA,atlanta,224.0,260.0,248.0,16.071428571428573,-4.615384615384616,271,15.3,10318,0.4,4.143
1998_0,JPN,nagano,10.0,13.0,2.0,30.0,-84.61538461538461,68,32.7,2176,1.0,2.227
2000_1,AUS,sydney,132.0,183.0,157.0,38.63636363636363,-14.207650273224044,300,16.8,10651,0.5,5.026
2002_0,USA,salt lake city,34.0,84.0,53.0,147.05882352941177,-36.904761904761905,78,32.3,2399,1.1,2.52
2006_0,ITA,torino,21.0,25.0,5.0,19.047619047619047,-80.0,84,52.0,2508,1.7,4.366
2008_1,CHN,beijing,94.0,184.0,128.0,95.74468085106383,-30.434782608695656,302,22.5,10942,0.6,6.81
2010_0,CAN,vancouver,68.0,91.0,90.0,33.82352941176471,-1.098901098901099,86,29.5,2566,1.0,2.54
2012_1,GBR,london,77.0,126.0,,63.63636363636363,,302,49.5,10568,1.4,14.957
2014_0,RUS,sochi,25.0,68.0,,172.0,,98,223.4,2780,7.9,21.89
